Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"Indigenous Status (INGP) and LANP - 4 Digit Level"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"Indigenous Status (INGP)","LANP - 4 Digit Level",
,"Ganalbingu",0,
,"Djinba",0,
,"Manyjalpingu",0,
,"Djinba, nec",0,
,"Yakuy, nfd",0,
,"Ritharrngu",0,
,"Wagilak",3,
,"Yakuy, nec",0,
,"Nhangu",0,
,"Yan-nhangu",0,
,"Nhangu, nec",0,
,"Dhuwaya",0,
,"Djangu",0,
,"Madarrpa",0,
,"Warramiri",0,
,"Rirratjingu",0,
,"Other Yolngu Matha, nec",0,
,"Cape York Peninsula Languages, nfd",0,
,"Kuku Yalanji",0,
,"Guugu Yimidhirr",0,
,"Kuuku-Ya'u",0,
,"Wik Mungkan",0,
,"Djabugay",0,
,"Dyirbal",0,
,"Girramay",0,
,"Koko-Bera",0,
,"Kuuk Thayorre",0,
,"Lamalama",0,
,"Yidiny",0,
,"Wik Ngathan",0,
,"Alngith",0,
,"Kugu Muminh",0,
,"Morrobalama",0,
,"Thaynakwith",0,
,"Yupangathi",0,
,"Tjungundji",0,
,"Cape York Peninsula Languages, nec",0,
,"Torres Strait Island Languages, nfd",5,
,"Kalaw Kawaw Ya/Kalaw Lagaw Ya",3,
,"Meriam Mir",0,
,"Yumplatok (Torres Strait Creole)",48,
,"Northern Desert Fringe Area Languages, nfd",0,
,"Bilinarra",0,
,"Gurindji",3,
,"Gurindji Kriol",0,
,"Jaru",4,
,"Light Warlpiri",0,
,"Malngin",0,
,"Mudburra",0,
,"Ngardi",0,
,"Ngarinyman",0,
,"Walmajarri",3,
,"Wanyjirra",0,
,"Warlmanpa",0,
,"Warlpiri",27,
,"Warumungu",0,
,"Northern Desert Fringe Area Languages, nec",0,
,"Arandic, nfd",0,
,"Alyawarr",8,
,"Kaytetye",0,
,"Antekerrepenh",0,
,"Anmatyerr, nfd",0,
,"Central Anmatyerr",0,
,"Eastern Anmatyerr",0,
,"Anmatyerr, nec",4,
,"Arrernte, nfd",3,
,"Eastern Arrernte",0,
,"Western Arrarnta",0,
,"Arrernte, nec",21,
,"Arandic, nec",0,
,"Western Desert Language, nfd",0,
,"Antikarinya",0,
,"Kartujarra",0,
,"Kukatha",0,
,"Kukatja",0,
,"Luritja",15,
,"Manyjilyjarra",0,
,"Martu Wangka",5,
,"Ngaanyatjarra",0,
,"Pintupi",3,
,"Pitjantjatjara",22,
,"Wangkajunga",0,
,"Wangkatha",0,
,"Warnman",0,
,"Yankunytjatjara",0,
,"Yulparija",4,
,"Tjupany",0,
,"Western Desert Language, nec",0,
,"Kimberley Area Languages, nfd",0,
,"Bardi",0,
,"Bunuba",0,
,"Gooniyandi",0,
,"Miriwoong",0,
,"Ngarinyin",0,
,"Nyikina",0,
,"Worla",0,
,"Worrorra",0,
,"Wunambal",3,
,"Yawuru",0,
,"Gambera",0,
,"Jawi",0,
,"Kija",0,
,"Kimberley Area Languages, nec",0,
,"Other Australian Indigenous Languages, nfd",0,
,"Adnymathanha",0,
,"Arabana",0,
,"Bandjalang",3,
,"Banyjima",7,
,"Batjala",0,
,"Bidjara",0,
,"Dhanggatti",0,
,"Diyari",0,
,"Gamilaraay",0,
,"Garuwali",0,
,"Githabul",0,
,"Gumbaynggir",0,
,"Kanai",0,
,"Karajarri",0,
,"Kariyarra",0,
,"Kaurna",0,
,"Kayardild",0,
,"Kriol",31,
,"Lardil",0,
,"Mangala",0,
,"Muruwari",0,
,"Narungga",0,
,"Ngarluma",0,
,"Ngarrindjeri",3,
,"Nyamal",0,
,"Nyangumarta",0,
,"Nyungar",4,
,"Paakantyi",6,
,"Palyku/Nyiyaparli",0,
,"Wajarri",0,
,"Wiradjuri",3,
,"Yindjibarndi",0,
,"Yinhawangka",0,
,"Yorta Yorta",0,
,"Baanbay",0,
,"Badimaya",0,
,"Barababaraba",0,
,"Dadi Dadi",0,
,"Dharawal",0,
,"Djabwurrung",0,
,"Gudjal",0,
,"Keerray-Woorroong",0,
,"Ladji Ladji",0,
,"Mirning",0,
,"Ngatjumaya",0,
,"Waluwarra",0,
,"Wangkangurru",0,
,"Wargamay",0,
,"Wergaia",0,
,"Aboriginal English, so described",8,
,"Other Australian Indigenous Languages, nec",0,
"Total","Australian Indigenous Languages, nfd",2742,
,"Arnhem Land and Daly River Region Languages, nfd",25,
,"Anindilyakwa",1485,
,"Maung",366,
,"Ngan'gikurunggurr",98,
,"Nunggubuyu",239,
,"Rembarrnga",124,
,"Tiwi",2209,
,"Alawa",17,
,"Dalabon",73,
,"Gudanji",3,
,"Iwaidja",135,
,"Jaminjung",0,
,"Jawoyn",29,
,"Jingulu",29,
,"Kunbarlang",20,
,"Larrakiya",8,
,"Malak Malak",11,
,"Mangarrayi",0,
,"Maringarr",8,
,"Marra",9,
,"Marrithiyel",20,
,"Matngala",0,
,"Murrinh Patha",2411,
,"Na-kara",102,
,"Ndjebbana (Gunavidji)",335,
,"Ngalakgan",0,
,"Ngaliwurru",0,
,"Nungali",11,
,"Wambaya",56,
,"Wardaman",8,
,"Amurdak",0,
,"Garrwa",86,
,"Kuwema",0,
,"Marramaninyshi",0,
,"Ngandi",0,
,"Waanyi",40,
,"Wagiman",30,
,"Yanyuwa",77,
,"Marridan (Maridan)",0,
,"Kuwinjkuan, nfd",0,
,"Gundjeihmi",29,
,"Kune",121,
,"Kuninjku",104,
,"Kunwinjku",1644,
,"Mayali",66,
,"Kunwinjkuan, nec",0,
,"Burarran, nfd",0,
,"Burarra",932,
,"Gun-nartpa",89,
,"Gurr-goni",35,
,"Burraran, nec",0,
,"Arnhem Land and Daly River Region Languages, nec",11,
,"Yolngu Matha, nfd",2446,
,"Dhangu, nfd",29,
,"Galpu",148,
,"Golumala",3,
,"Wangurri",26,
,"Dhangu, nec",0,
,"Dhay'yi, nfd",21,
,"Dhalwangu",38,
,"Djarrwark",0,
,"Dhay'yi, nec",0,
,"Dhuwal, nfd",234,
,"Djambarrpuyngu",2974,
,"Djapu",26,
,"Daatiwuy",8,
,"Marrangu",14,
,"Liyagalawumirr",3,
,"Liyagawumirr",0,
,"Dhuwal, nec",21,
,"Dhuwala, nfd",89,
,"Gumatj",184,
,"Gupapuyngu",157,
,"Guyamirrilili",0,
,"Manggalili",0,
,"Wubulkarra",0,
,"Dhuwala, nec",0,
,"Djinang, nfd",103,
,"Wurlaki",32,
,"Djinang, nec",8,
,"Djinba, nfd",10,
,"Ganalbingu",32,
,"Djinba",0,
,"Manyjalpingu",0,
,"Djinba, nec",0,
,"Yakuy, nfd",0,
,"Ritharrngu",16,
,"Wagilak",3,
,"Yakuy, nec",0,
,"Nhangu",0,
,"Yan-nhangu",0,
,"Nhangu, nec",4,
,"Dhuwaya",285,
,"Djangu",0,
,"Madarrpa",3,
,"Warramiri",7,
,"Rirratjingu",0,
,"Other Yolngu Matha, nec",0,
,"Cape York Peninsula Languages, nfd",10,
,"Kuku Yalanji",254,
,"Guugu Yimidhirr",977,
,"Kuuku-Ya'u",11,
,"Wik Mungkan",1358,
,"Djabugay",27,
,"Dyirbal",16,
,"Girramay",63,
,"Koko-Bera",31,
,"Kuuk Thayorre",129,
,"Lamalama",20,
,"Yidiny",0,
,"Wik Ngathan",4,
,"Alngith",0,
,"Kugu Muminh",0,
,"Morrobalama",0,
,"Thaynakwith",3,
,"Yupangathi",0,
,"Tjungundji",0,
,"Cape York Peninsula Languages, nec",242,
,"Torres Strait Island Languages, nfd",406,
,"Kalaw Kawaw Ya/Kalaw Lagaw Ya",985,
,"Meriam Mir",186,
,"Yumplatok (Torres Strait Creole)",5368,
,"Northern Desert Fringe Area Languages, nfd",0,
,"Bilinarra",59,
,"Gurindji",534,
,"Gurindji Kriol",0,
,"Jaru",568,
,"Light Warlpiri",0,
,"Malngin",0,
,"Mudburra",119,
,"Ngardi",0,
,"Ngarinyman",310,
,"Walmajarri",528,
,"Wanyjirra",0,
,"Warlmanpa",19,
,"Warlpiri",2554,
,"Warumungu",286,
,"Northern Desert Fringe Area Languages, nec",0,
,"Arandic, nfd",0,
,"Alyawarr",1860,
,"Kaytetye",171,
,"Antekerrepenh",0,
,"Anmatyerr, nfd",0,
,"Central Anmatyerr",8,
,"Eastern Anmatyerr",3,
,"Anmatyerr, nec",934,
,"Arrernte, nfd",232,
,"Eastern Arrernte",527,
,"Western Arrarnta",487,
,"Arrernte, nec",1322,
,"Arandic, nec",0,
,"Western Desert Language, nfd",0,
,"Antikarinya",5,
,"Kartujarra",119,
,"Kukatha",27,
,"Kukatja",521,
,"Luritja",1505,
,"Manyjilyjarra",346,
,"Martu Wangka",604,
,"Ngaanyatjarra",1041,
,"Pintupi",139,
,"Pitjantjatjara",3486,
,"Wangkajunga",14,
,"Wangkatha",298,
,"Warnman",14,
,"Yankunytjatjara",452,
,"Yulparija",49,
,"Tjupany",0,
,"Western Desert Language, nec",16,
,"Kimberley Area Languages, nfd",4,
,"Bardi",172,
,"Bunuba",96,
,"Gooniyandi",106,
,"Miriwoong",98,
,"Ngarinyin",40,
,"Nyikina",63,
,"Worla",0,
,"Worrorra",0,
,"Wunambal",11,
,"Yawuru",26,
,"Gambera",0,
,"Jawi",0,
,"Kija",169,
,"Kimberley Area Languages, nec",17,
,"Other Australian Indigenous Languages, nfd",3,
,"Adnymathanha",150,
,"Arabana",8,
,"Bandjalang",133,
,"Banyjima",87,
,"Batjala",8,
,"Bidjara",9,
,"Dhanggatti",9,
,"Diyari",8,
,"Gamilaraay",87,
,"Garuwali",0,
,"Githabul",7,
,"Gumbaynggir",60,
,"Kanai",3,
,"Karajarri",39,
,"Kariyarra",5,
,"Kaurna",58,
,"Kayardild",3,
,"Kriol",6780,
,"Lardil",89,
,"Mangala",58,
,"Muruwari",10,
,"Narungga",46,
,"Ngarluma",44,
,"Ngarrindjeri",271,
,"Nyamal",32,
,"Nyangumarta",262,
,"Nyungar",369,
,"Paakantyi",47,
,"Palyku/Nyiyaparli",8,
,"Wajarri",92,
,"Wiradjuri",151,
,"Yindjibarndi",296,
,"Yinhawangka",6,
,"Yorta Yorta",29,
,"Baanbay",0,
,"Badimaya",0,
,"Barababaraba",0,
,"Dadi Dadi",0,
,"Dharawal",16,
,"Djabwurrung",17,
,"Gudjal",0,
,"Keerray-Woorroong",0,
,"Ladji Ladji",0,
,"Mirning",0,
,"Ngatjumaya",0,
,"Waluwarra",11,
,"Wangkangurru",0,
,"Wargamay",0,
,"Wergaia",14,
,"Aboriginal English, so described",1062,
,"Other Australian Indigenous Languages, nec",575,

"Data Source: 2011 Census of Population and Housing"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


(c) Commonwealth of Australia 2017
