Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"INGP Indigenous Status and LANP - 4 Digit Level"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"INGP Indigenous Status","LANP - 4 Digit Level",
,"Djinang, nec",0,
,"Djinba, nfd",0,
,"Ganalbingu",0,
,"Djinba",0,
,"Manyjalpingu",0,
,"Djinba, nec",0,
,"Yakuy, nfd",0,
,"Ritharrngu",0,
,"Wagilak",0,
,"Yakuy, nec",0,
,"Nhangu",0,
,"Yan-nhangu",0,
,"Nhangu, nec",0,
,"Dhuwaya",0,
,"Djangu",0,
,"Madarrpa",0,
,"Warramiri",0,
,"Rirratjingu",0,
,"Other Yolngu Matha, nec",0,
,"Cape York Peninsula Languages, nfd",0,
,"Kuku Yalanji",0,
,"Guugu Yimidhirr",0,
,"Kuuku-Ya'u",0,
,"Wik Mungkan",0,
,"Djabugay",0,
,"Dyirbal",0,
,"Girramay",0,
,"Koko-Bera",0,
,"Kuuk Thayorre",0,
,"Lamalama",0,
,"Yidiny",0,
,"Wik Ngathan",0,
,"Alngith",0,
,"Kugu Muminh",0,
,"Morrobalama",0,
,"Thaynakwith",0,
,"Yupangathi",0,
,"Tjungundji",0,
,"Cape York Peninsula Languages, nec",0,
,"Torres Strait Island Languages, nfd",4,
,"Kalaw Kawaw Ya/Kalaw Lagaw Ya",8,
,"Meriam Mir",0,
,"Yumplatok (Torres Strait Creole)",18,
,"Northern Desert Fringe Area Languages, nfd",0,
,"Bilinarra",0,
,"Gurindji",0,
,"Gurindji Kriol",0,
,"Jaru",0,
,"Light Warlpiri",0,
,"Malngin",0,
,"Mudburra",0,
,"Ngardi",0,
,"Ngarinyman",0,
,"Walmajarri",0,
,"Wanyjirra",0,
,"Warlmanpa",0,
,"Warlpiri",0,
,"Warumungu",0,
,"Northern Desert Fringe Area Languages, nec",0,
,"Arandic, nfd",0,
,"Alyawarr",0,
,"Kaytetye",0,
,"Antekerrepenh",0,
,"Anmatyerr, nfd",0,
,"Central Anmatyerr",0,
,"Eastern Anmatyerr",0,
,"Anmatyerr, nec",0,
,"Arrernte, nfd",0,
,"Eastern Arrernte",0,
,"Western Arrarnta",3,
,"Arrernte, nec",0,
,"Arandic, nec",0,
,"Western Desert Languages, nfd",0,
,"Antikarinya",0,
,"Kartujarra",0,
,"Kukatha",0,
,"Kukatja",0,
,"Luritja",3,
,"Manyjilyjarra",0,
,"Martu Wangka",0,
,"Ngaanyatjarra",15,
,"Pintupi",0,
,"Pitjantjatjara",4,
,"Wangkajunga",0,
,"Wangkatha",7,
,"Warnman",0,
,"Yankunytjatjara",0,
,"Yulparija",0,
,"Tjupany",0,
,"Western Desert Languages, nec",0,
,"Kimberley Area Languages, nfd",0,
,"Bardi",0,
,"Bunuba",0,
,"Gooniyandi",0,
,"Miriwoong",0,
,"Ngarinyin",0,
,"Nyikina",0,
,"Worla",0,
,"Worrorra",0,
,"Wunambal",0,
,"Yawuru",0,
,"Gambera",0,
,"Jawi",0,
,"Kija",0,
,"Kimberley Area Languages, nec",0,
,"Other Australian Indigenous Languages, nfd",0,
,"Adnymathanha",0,
,"Arabana",0,
,"Bandjalang",0,
,"Banyjima",0,
,"Batjala",0,
,"Bidjara",0,
,"Dhanggatti",0,
,"Diyari",0,
,"Gamilaraay",0,
,"Garuwali",0,
,"Githabul",0,
,"Gumbaynggir",0,
,"Kanai",0,
,"Karajarri",0,
,"Kariyarra",0,
,"Kaurna",0,
,"Kayardild",0,
,"Kriol",7,
,"Lardil",0,
,"Mangala",0,
,"Muruwari",0,
,"Narungga",0,
,"Ngarluma",0,
,"Ngarrindjeri",0,
,"Nyamal",0,
,"Nyangumarta",0,
,"Nyungar",0,
,"Paakantyi",0,
,"Palyku/Nyiyaparli",0,
,"Wajarri",0,
,"Wiradjuri",0,
,"Yindjibarndi",0,
,"Yinhawangka",0,
,"Yorta Yorta",0,
,"Baanbay",0,
,"Badimaya",0,
,"Barababaraba",0,
,"Dadi Dadi",0,
,"Dharawal",0,
,"Djabwurrung",0,
,"Gudjal",0,
,"Keerray-Woorroong",0,
,"Ladji Ladji",0,
,"Mirning",0,
,"Ngatjumaya",0,
,"Waluwarra",0,
,"Wangkangurru",0,
,"Wargamay",0,
,"Wergaia",0,
,"Yugambeh",0,
,"Aboriginal English, so described",3,
,"Other Australian Indigenous Languages, nec",0,
"Total","Australian Indigenous Languages, nfd",8800,
,"Arnhem Land and Daly River Region Languages, nfd",0,
,"Anindilyakwa",1485,
,"Maung",375,
,"Ngan'gikurunggurr",27,
,"Nunggubuyu",278,
,"Rembarrnga",41,
,"Tiwi",2043,
,"Alawa",4,
,"Dalabon",0,
,"Gudanji",85,
,"Iwaidja",124,
,"Jaminjung",0,
,"Jawoyn",9,
,"Jingulu",24,
,"Kunbarlang",0,
,"Larrakiya",14,
,"Malak Malak",10,
,"Mangarrayi",0,
,"Maringarr",7,
,"Marra",8,
,"Marrithiyel",15,
,"Matngala",0,
,"Murrinh Patha",1971,
,"Na-kara",57,
,"Ndjebbana (Gunavidji)",178,
,"Ngalakgan",0,
,"Ngaliwurru",25,
,"Nungali",0,
,"Wambaya",60,
,"Wardaman",50,
,"Amurdak",0,
,"Garrwa",131,
,"Kuwema",0,
,"Marramaninyshi",0,
,"Ngandi",0,
,"Waanyi",20,
,"Wagiman",19,
,"Yanyuwa",37,
,"Marridan (Maridan)",0,
,"Kunwinjkuan, nfd",0,
,"Gundjeihmi",45,
,"Kune",178,
,"Kuninjku",55,
,"Kunwinjku",1711,
,"Mayali",145,
,"Kunwinjkuan, nec",0,
,"Burarran, nfd",0,
,"Burarra",996,
,"Gun-nartpa",55,
,"Gurr-goni",46,
,"Burarran, nec",0,
,"Arnhem Land and Daly River Region Languages, nec",15,
,"Yolngu Matha, nfd",723,
,"Dhangu, nfd",43,
,"Galpu",90,
,"Golumala",0,
,"Wangurri",59,
,"Dhangu, nec",5,
,"Dhay'yi, nfd",21,
,"Dhalwangu",61,
,"Djarrwark",0,
,"Dhay'yi, nec",0,
,"Dhuwal, nfd",267,
,"Djambarrpuyngu",4286,
,"Djapu",85,
,"Daatiwuy",36,
,"Marrangu",6,
,"Liyagalawumirr",48,
,"Liyagawumirr",12,
,"Dhuwal, nec",27,
,"Dhuwala, nfd",124,
,"Gumatj",116,
,"Gupapuyngu",147,
,"Guyamirrilili",3,
,"Manggalili",0,
,"Wubulkarra",17,
,"Dhuwala, nec",0,
,"Djinang, nfd",108,
,"Wurlaki",13,
,"Djinang, nec",7,
,"Djinba, nfd",16,
,"Ganalbingu",59,
,"Djinba",0,
,"Manyjalpingu",4,
,"Djinba, nec",0,
,"Yakuy, nfd",0,
,"Ritharrngu",25,
,"Wagilak",23,
,"Yakuy, nec",0,
,"Nhangu",0,
,"Yan-nhangu",0,
,"Nhangu, nec",3,
,"Dhuwaya",336,
,"Djangu",0,
,"Madarrpa",11,
,"Warramiri",18,
,"Rirratjingu",19,
,"Other Yolngu Matha, nec",0,
,"Cape York Peninsula Languages, nfd",19,
,"Kuku Yalanji",324,
,"Guugu Yimidhirr",773,
,"Kuuku-Ya'u",7,
,"Wik Mungkan",446,
,"Djabugay",49,
,"Dyirbal",8,
,"Girramay",46,
,"Koko-Bera",10,
,"Kuuk Thayorre",206,
,"Lamalama",0,
,"Yidiny",22,
,"Wik Ngathan",0,
,"Alngith",0,
,"Kugu Muminh",0,
,"Morrobalama",0,
,"Thaynakwith",0,
,"Yupangathi",0,
,"Tjungundji",0,
,"Cape York Peninsula Languages, nec",873,
,"Torres Strait Island Languages, nfd",336,
,"Kalaw Kawaw Ya/Kalaw Lagaw Ya",956,
,"Meriam Mir",219,
,"Yumplatok (Torres Strait Creole)",6172,
,"Northern Desert Fringe Area Languages, nfd",0,
,"Bilinarra",41,
,"Gurindji",400,
,"Gurindji Kriol",3,
,"Jaru",219,
,"Light Warlpiri",0,
,"Malngin",5,
,"Mudburra",90,
,"Ngardi",3,
,"Ngarinyman",232,
,"Walmajarri",280,
,"Wanyjirra",0,
,"Warlmanpa",26,
,"Warlpiri",2305,
,"Warumungu",317,
,"Northern Desert Fringe Area Languages, nec",0,
,"Arandic, nfd",0,
,"Alyawarr",1548,
,"Kaytetye",120,
,"Antekerrepenh",0,
,"Anmatyerr, nfd",106,
,"Central Anmatyerr",0,
,"Eastern Anmatyerr",3,
,"Anmatyerr, nec",526,
,"Arrernte, nfd",688,
,"Eastern Arrernte",389,
,"Western Arrarnta",439,
,"Arrernte, nec",842,
,"Arandic, nec",0,
,"Western Desert Languages, nfd",0,
,"Antikarinya",0,
,"Kartujarra",19,
,"Kukatha",17,
,"Kukatja",130,
,"Luritja",956,
,"Manyjilyjarra",313,
,"Martu Wangka",727,
,"Ngaanyatjarra",1113,
,"Pintupi",147,
,"Pitjantjatjara",3127,
,"Wangkajunga",12,
,"Wangkatha",224,
,"Warnman",0,
,"Yankunytjatjara",419,
,"Yulparija",15,
,"Tjupany",10,
,"Western Desert Languages, nec",0,
,"Kimberley Area Languages, nfd",0,
,"Bardi",321,
,"Bunuba",38,
,"Gooniyandi",138,
,"Miriwoong",153,
,"Ngarinyin",38,
,"Nyikina",61,
,"Worla",0,
,"Worrorra",9,
,"Wunambal",9,
,"Yawuru",61,
,"Gambera",0,
,"Jawi",0,
,"Kija",164,
,"Kimberley Area Languages, nec",25,
,"Other Australian Indigenous Languages, nfd",100,
,"Adnymathanha",141,
,"Arabana",12,
,"Bandjalang",115,
,"Banyjima",106,
,"Batjala",21,
,"Bidjara",22,
,"Dhanggatti",37,
,"Diyari",0,
,"Gamilaraay",103,
,"Garuwali",0,
,"Githabul",8,
,"Gumbaynggir",90,
,"Kanai",6,
,"Karajarri",43,
,"Kariyarra",19,
,"Kaurna",51,
,"Kayardild",10,
,"Kriol",7153,
,"Lardil",65,
,"Mangala",69,
,"Muruwari",16,
,"Narungga",27,
,"Ngarluma",37,
,"Ngarrindjeri",317,
,"Nyamal",30,
,"Nyangumarta",214,
,"Nyungar",477,
,"Paakantyi",43,
,"Palyku/Nyiyaparli",7,
,"Wajarri",146,
,"Wiradjuri",457,
,"Yindjibarndi",377,
,"Yinhawangka",36,
,"Yorta Yorta",60,
,"Baanbay",0,
,"Badimaya",0,
,"Barababaraba",0,
,"Dadi Dadi",0,
,"Dharawal",29,
,"Djabwurrung",0,
,"Gudjal",4,
,"Keerray-Woorroong",7,
,"Ladji Ladji",0,
,"Mirning",0,
,"Ngatjumaya",0,
,"Waluwarra",0,
,"Wangkangurru",4,
,"Wargamay",0,
,"Wergaia",12,
,"Yugambeh",22,
,"Aboriginal English, so described",654,
,"Other Australian Indigenous Languages, nec",365,


"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


(c) Commonwealth of Australia 2017
